Date,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
02/24/2015 02:00:00 AM,3,3
01/01/2019 12:00:00 AM,0,9
01/01/2019 01:00:00 AM,2,22
02/15/2016 12:00:00 AM,3,3
01/01/2019 02:00:00 AM,1,11
01/01/2019 03:00:00 AM,1,2
01/01/2019 04:00:00 AM,2,1
01/01/2019 05:00:00 AM,3,1
01/01/2019 06:00:00 AM,4,7
01/01/2019 07:00:00 AM,1,2
01/01/2019 08:00:00 AM,8,9
01/01/2019 09:00:00 AM,5,14
01/01/2019 10:00:00 AM,37,24
01/01/2019 11:00:00 AM,31,11
01/01/2019 12:00:00 PM,31,29
01/01/2019 01:00:00 PM,55,48
01/01/2019 02:00:00 PM,61,52
01/01/2019 03:00:00 PM,31,37
11/15/2015 02:00:00 AM,0,0
01/01/2019 04:00:00 PM,30,28
01/01/2019 05:00:00 PM,9,17
01/01/2019 06:00:00 PM,9,11
01/01/2019 07:00:00 PM,8,7
01/01/2019 08:00:00 PM,4,3
01/01/2019 09:00:00 PM,1,3
01/01/2019 10:00:00 PM,1,2
01/01/2019 11:00:00 PM,0,2
11/29/2015 04:00:00 AM,0,0
01/02/2019 12:00:00 AM,1,0
03/14/2013 03:00:00 AM,1,1
01/09/2017 01:00:00 AM,0,0
01/02/2019 01:00:00 AM,0,0
01/02/2019 02:00:00 AM,0,1
01/02/2019 03:00:00 AM,2,2
01/02/2019 04:00:00 AM,5,2
01/02/2019 05:00:00 AM,14,14
01/01/2017 05:00:00 AM,0,0
01/02/2019 06:00:00 AM,52,42
01/02/2019 07:00:00 AM,140,110
01/02/2019 08:00:00 AM,168,200
01/02/2019 09:00:00 AM,72,102
01/02/2019 10:00:00 AM,43,34
01/02/2019 11:00:00 AM,22,29
01/02/2019 12:00:00 PM,24,28
01/02/2019 01:00:00 PM,22,23
01/02/2019 02:00:00 PM,20,43
04/16/2015 12:00:00 AM,7,7
01/02/2019 03:00:00 PM,42,61
06/28/2013 02:00:00 AM,2,2
01/02/2019 04:00:00 PM,60,172
01/02/2019 05:00:00 PM,97,346
01/26/2017 01:00:00 AM,0,0
01/02/2019 06:00:00 PM,54,187
01/02/2019 07:00:00 PM,32,53
01/02/2019 08:00:00 PM,11,20
01/02/2019 09:00:00 PM,5,18
01/02/2019 10:00:00 PM,5,9
01/02/2019 11:00:00 PM,4,2
01/03/2019 12:00:00 AM,1,0
01/03/2019 01:00:00 AM,0,0
01/03/2019 02:00:00 AM,0,1
01/03/2019 03:00:00 AM,2,1
01/03/2019 04:00:00 AM,5,1
01/03/2019 05:00:00 AM,13,19
01/03/2019 06:00:00 AM,40,25
01/03/2019 07:00:00 AM,70,82
01/03/2019 08:00:00 AM,138,159
01/03/2019 09:00:00 AM,63,85
01/03/2019 10:00:00 AM,29,39
01/03/2019 11:00:00 AM,17,16
01/03/2019 12:00:00 PM,19,27
12/05/2016 01:00:00 PM,14,14
01/15/2017 04:00:00 AM,0,0
01/03/2019 01:00:00 PM,15,18
01/13/2017 03:00:00 AM,0,0
01/03/2019 02:00:00 PM,19,21
01/03/2019 03:00:00 PM,20,43
01/03/2019 04:00:00 PM,32,100
01/09/2017 02:00:00 AM,0,0
01/03/2019 05:00:00 PM,75,249
01/03/2019 06:00:00 PM,40,119
01/03/2019 07:00:00 PM,21,51
01/11/2017 03:00:00 AM,0,0
01/03/2019 08:00:00 PM,14,27
01/03/2019 09:00:00 PM,5,8
01/03/2019 10:00:00 PM,6,1
01/03/2019 11:00:00 PM,5,2
01/04/2019 12:00:00 AM,1,2
01/11/2017 01:00:00 AM,0,0
01/04/2019 01:00:00 AM,2,1
01/04/2019 02:00:00 AM,0,1
01/04/2019 03:00:00 AM,2,2
01/18/2017 01:00:00 PM,18,18
01/04/2019 04:00:00 AM,1,1
01/04/2019 05:00:00 AM,10,13
01/04/2019 06:00:00 AM,31,36
01/04/2019 07:00:00 AM,88,95
01/04/2019 08:00:00 AM,140,182
01/04/2019 09:00:00 AM,84,112
01/04/2019 10:00:00 AM,42,44
01/04/2019 11:00:00 AM,33,36
01/04/2019 12:00:00 PM,23,28
01/04/2019 01:00:00 PM,28,30
01/04/2019 02:00:00 PM,20,47
01/04/2019 03:00:00 PM,52,66
01/04/2019 04:00:00 PM,63,158
01/04/2019 05:00:00 PM,86,273
01/04/2019 06:00:00 PM,50,142
01/04/2019 07:00:00 PM,26,43
01/04/2019 08:00:00 PM,11,20
01/04/2019 09:00:00 PM,5,19
01/04/2019 10:00:00 PM,7,4
01/04/2019 11:00:00 PM,4,15
01/19/2017 12:00:00 AM,0,0
01/05/2019 12:00:00 AM,8,7
01/05/2019 01:00:00 AM,1,2
01/05/2019 02:00:00 AM,0,3
01/05/2019 03:00:00 AM,0,2
01/05/2019 04:00:00 AM,3,3
01/05/2019 05:00:00 AM,3,8
01/05/2019 06:00:00 AM,3,8
01/05/2019 07:00:00 AM,8,14
04/15/2017 01:00:00 PM,82,82
01/05/2019 08:00:00 AM,18,37
01/05/2019 09:00:00 AM,21,17
01/05/2019 10:00:00 AM,50,41
01/05/2019 11:00:00 AM,62,42
01/05/2019 12:00:00 PM,64,46
01/05/2019 01:00:00 PM,70,50
01/05/2019 02:00:00 PM,39,56
01/05/2019 03:00:00 PM,50,49
01/05/2019 04:00:00 PM,25,37
01/05/2019 05:00:00 PM,16,16
10/30/2013 12:00:00 AM,2,2
01/05/2019 06:00:00 PM,12,18
01/05/2019 07:00:00 PM,5,7
01/05/2019 08:00:00 PM,9,9
01/05/2019 09:00:00 PM,6,9
01/05/2019 10:00:00 PM,6,5
01/05/2019 11:00:00 PM,3,7
01/06/2019 12:00:00 AM,2,8
01/06/2019 01:00:00 AM,1,1
01/06/2019 02:00:00 AM,0,0
01/06/2019 03:00:00 AM,0,0
03/16/2014 03:00:00 AM,1,1
11/16/2015 12:00:00 AM,4,4
01/06/2019 04:00:00 AM,0,1
01/06/2019 05:00:00 AM,2,2
01/06/2019 06:00:00 AM,2,3
01/06/2019 07:00:00 AM,4,2
01/06/2019 08:00:00 AM,11,9
02/07/2015 06:00:00 PM,20,20
01/06/2019 09:00:00 AM,19,17
01/06/2019 10:00:00 AM,34,26
01/06/2019 11:00:00 AM,48,25
01/06/2019 12:00:00 PM,42,40
01/06/2019 01:00:00 PM,38,35
01/06/2019 02:00:00 PM,28,32
01/06/2019 03:00:00 PM,27,32
01/06/2019 04:00:00 PM,15,18
01/06/2019 05:00:00 PM,19,21
01/06/2019 06:00:00 PM,5,16
01/06/2019 07:00:00 PM,2,5
01/06/2019 08:00:00 PM,2,5
01/06/2019 09:00:00 PM,5,3
01/06/2019 10:00:00 PM,1,3
01/06/2019 11:00:00 PM,1,1
01/07/2019 12:00:00 AM,0,0
01/07/2019 01:00:00 AM,1,0
01/07/2019 02:00:00 AM,1,0
01/07/2019 03:00:00 AM,2,1
01/07/2019 04:00:00 AM,4,2
01/07/2019 05:00:00 AM,19,15
01/07/2019 06:00:00 AM,69,53
01/07/2019 07:00:00 AM,178,165
01/07/2019 08:00:00 AM,235,241
10/15/2014 03:00:00 AM,2,2
01/07/2019 09:00:00 AM,91,133
01/07/2019 10:00:00 AM,45,47
01/07/2019 11:00:00 AM,31,25
01/07/2019 12:00:00 PM,34,26
01/07/2019 01:00:00 PM,35,21
01/07/2019 02:00:00 PM,28,38
01/07/2019 03:00:00 PM,49,86
01/23/2016 05:00:00 PM,15,15
01/07/2019 04:00:00 PM,70,223
01/07/2019 05:00:00 PM,128,414
01/07/2019 06:00:00 PM,89,234
05/27/2017 03:00:00 AM,2,2
01/07/2019 07:00:00 PM,33,89
01/07/2019 08:00:00 PM,9,32
01/07/2019 09:00:00 PM,16,24
01/07/2019 10:00:00 PM,6,10
11/14/2014 12:00:00 AM,6,6
01/07/2019 11:00:00 PM,4,5
01/08/2019 12:00:00 AM,1,0
01/08/2019 01:00:00 AM,0,0
01/08/2019 02:00:00 AM,0,0
01/08/2019 03:00:00 AM,2,0
11/17/2014 12:00:00 AM,3,3
01/08/2019 04:00:00 AM,3,5
01/08/2019 05:00:00 AM,18,13
01/08/2019 06:00:00 AM,71,45
01/08/2019 07:00:00 AM,152,134
01/08/2019 08:00:00 AM,214,207
01/08/2019 09:00:00 AM,76,96
04/06/2013 11:00:00 PM,4,4
01/08/2019 10:00:00 AM,28,38
01/18/2017 01:00:00 AM,0,0
06/13/2015 05:00:00 AM,8,8
04/13/2014 06:00:00 PM,82,82
12/05/2016 12:00:00 PM,11,11
01/08/2019 11:00:00 AM,18,21
01/08/2019 12:00:00 PM,16,23
01/08/2019 01:00:00 PM,12,12
01/08/2019 02:00:00 PM,14,26
11/21/2015 02:00:00 AM,0,0
01/08/2019 03:00:00 PM,30,46
01/08/2019 04:00:00 PM,55,150
01/08/2019 05:00:00 PM,90,358
01/08/2019 06:00:00 PM,62,193
01/08/2019 07:00:00 PM,21,69
01/08/2019 08:00:00 PM,11,23
01/08/2019 09:00:00 PM,12,19
01/08/2019 10:00:00 PM,6,7
01/08/2019 11:00:00 PM,3,4
01/09/2019 12:00:00 AM,2,2
01/09/2019 01:00:00 AM,0,1
01/09/2019 02:00:00 AM,1,0
01/09/2019 03:00:00 AM,1,1
01/09/2019 04:00:00 AM,8,2
01/09/2019 05:00:00 AM,14,14
01/09/2019 06:00:00 AM,50,41
01/09/2019 07:00:00 AM,136,119
01/09/2019 08:00:00 AM,180,192
01/09/2019 09:00:00 AM,100,112
01/09/2019 10:00:00 AM,36,47
01/09/2019 11:00:00 AM,17,29
01/09/2019 12:00:00 PM,18,23
01/09/2019 01:00:00 PM,17,18
04/24/2017 01:00:00 AM,1,1
01/09/2019 02:00:00 PM,17,24
01/09/2019 03:00:00 PM,37,60
01/09/2019 04:00:00 PM,48,147
